File,Heuristic,Result,Execution Time
src/inputs/test/unsat/op5.cnf,DLIS,UNSAT,0.454679
src/inputs/test/unsat/op7.cnf,DLIS,UNSAT,1.106818
src/inputs/test/unsat/nop.cnf,DLIS,UNSAT,0.442704
src/inputs/test/unsat/tree5.cnf,DLIS,UNSAT,0.449346
src/inputs/test/unsat/subset6.cnf,DLIS,UNSAT,0.500688
src/inputs/test/unsat/nop2.cnf,DLIS,UNSAT,0.364754
src/inputs/test/unsat/hole5.cnf,DLIS,UNSAT,0.356288
src/inputs/test/unsat/rand3_2.cnf,DLIS,UNSAT,0.346541
src/inputs/test/unsat/tseitin.cnf,DLIS,UNSAT,0.361642
src/inputs/test/unsat/hole2.cnf,DLIS,UNSAT,0.356159
src/inputs/test/unsat/parity5.cnf,DLIS,UNSAT,0.351640
src/inputs/test/unsat/tent2_2.cnf,DLIS,UNSAT,0.342621
src/inputs/test/unsat/rand3.cnf,DLIS,UNSAT,0.398701
src/inputs/test/unsat/count7_2.cnf,DLIS,UNSAT,0.406244
src/inputs/test/unsat/stone_pyramid4_2.cnf,DLIS,UNSAT,0.575948
src/inputs/test/sat/unit.cnf,DLIS,SAT,0.488588
src/inputs/test/sat/parity4.cnf,DLIS,SAT,0.400381
src/inputs/test/sat/matching4_3.cnf,DLIS,SAT,0.371806
src/inputs/test/sat/xor.cnf,DLIS,SAT,0.373908
src/inputs/test/sat/tent4_4.cnf,DLIS,SAT,0.471824
src/inputs/test/sat/parity6.cnf,DLIS,SAT,0.465069
src/inputs/test/sat/count6_2.cnf,DLIS,SAT,0.381218
src/inputs/test/sat/count6_3.cnf,DLIS,SAT,0.417365
src/inputs/test/sat/unique.cnf,DLIS,SAT,0.386138
src/inputs/test/sat/matching6_4.cnf,DLIS,SAT,0.362559
src/inputs/test/sat/count4_2.cnf,DLIS,SAT,0.363788
src/inputs/test/sat/kcolor.cnf,DLIS,SAT,0.436910
src/inputs/test/sat/rand6.cnf,DLIS,SAT,0.359097
src/inputs/test/sat/hole5_5.cnf,DLIS,SAT,0.463349
src/inputs/test/sat/hole3_3.cnf,DLIS,SAT,0.358334
src/inputs/unsat/aim-100-1_6-no-1.cnf,DLIS,Timeout,--
src/inputs/unsat/pret60_75.cnf,DLIS,Timeout,--
src/inputs/unsat/pret60_60.cnf,DLIS,Timeout,--
src/inputs/unsat/ssa2670-130.cnf,DLIS,Timeout,--
src/inputs/unsat/aim-100-1_6-no-2.cnf,DLIS,Timeout,--
src/inputs/unsat/pret150_60.cnf,DLIS,Timeout,--
